entity_type,neijing_entity_id,neijing_name,normalized_name,frequency
Symptom,symptom_夜瞑,夜瞑,夜瞑,1
Symptom,symptom_昼精,昼精,昼精,1
Symptom,symptom_昼不精,昼不精,昼不精,1
Symptom,symptom_夜不瞑,夜不瞑,夜不瞑,1
Symptom,symptom_漏泄,漏泄,漏泄,1
Symptom,symptom_汗出,汗出,汗出,1
Symptom,symptom_温疟,温疟,温疟,1
Symptom,symptom_皮水,皮水,皮水,1
Symptom,symptom_肠中不便,肠中不便,肠中不便,1
Symptom,symptom_腹中常鸣,腹中常鸣,腹中常鸣,1
Symptom,symptom_温疟汗不出,温疟汗不出,温疟汗不出,1
Symptom,symptom_风,风,风,1
Symptom,symptom_肤胀,肤胀,肤胀,1
Symptom,symptom_风水,风水,风水,1
Symptom,symptom_肿胀,肿胀,肿胀,1
Symptom,symptom_飧泄,飧泄,飧泄,1
Symptom,symptom_湿痹,湿痹,湿痹,1
Symptom,symptom_肿,肿,肿,1
Symptom,symptom_营热,营热,营热,1
Symptom,symptom_气上冲胸,气上冲胸,气上冲胸,1
Symptom,symptom_喘不能久立,喘不能久立,喘不能久立,1
Symptom,symptom_呕有苦,呕有苦,呕有苦,1
Symptom,symptom_口苦,口苦,口苦,1
Symptom,symptom_心中,心中,心中,1
Symptom,symptom_呕苦,呕苦,呕苦,1
Symptom,symptom_小腹痛肿,小腹痛肿,小腹痛肿,1
Symptom,symptom_不得小便,不得小便,不得小便,1
Symptom,symptom_皮肤痛,皮肤痛,皮肤痛,1
Symptom,symptom_寒热,寒热,寒热,1
Symptom,symptom_上气喘,上气喘,上气喘,1
Herb,herb_橘皮,橘皮,橘皮,1
Herb,herb_竹茹,竹茹,竹茹,1
Herb,herb_人参,人参,人参,1
Herb,herb_甘草,甘草,甘草,1
Herb,herb_生姜,生姜,生姜,1
Herb,herb_大枣,大枣,大枣,1
Herb,herb_金银花,金银花,金银花,1
Herb,herb_王不留行,王不留行,王不留行,1
Herb,herb_姜,姜,姜,1
Herb,herb_韭,韭,韭,1
Herb,herb_大豆,大豆,大豆,1
Herb,herb_彘,彘,彘,1
Herb,herb_栗,栗,栗,1
Herb,herb_谷稷,谷稷,谷稷,1
Herb,herb_牛,牛,牛,1
Herb,herb_枣,枣,枣,1
Herb,herb_黍,黍,黍,1
Herb,herb_鸡,鸡,鸡,1
Herb,herb_桃,桃,桃,1
