entity_type,canonical_symmap_id,symmap_name,normalized_name,frequency
Symptom,SM00001,頭痛,頭痛,1
Symptom,SM00002,示例症狀2,示例症狀2,1
Symptom,SM00003,示例症狀3,示例症狀3,1
Symptom,SM00004,示例症狀4,示例症狀4,1
Symptom,SM00005,示例症狀5,示例症狀5,1
Symptom,SM00006,示例症狀6,示例症狀6,1
Symptom,SM00007,示例症狀7,示例症狀7,1
Symptom,SM00008,示例症狀8,示例症狀8,1
Symptom,SM00009,示例症狀9,示例症狀9,1
Symptom,SM00010,示例症狀10,示例症狀10,1
Symptom,SM00011,示例症狀11,示例症狀11,1
Symptom,SM00012,示例症狀12,示例症狀12,1
Symptom,SM00013,示例症狀13,示例症狀13,1
Symptom,SM00014,示例症狀14,示例症狀14,1
Symptom,SM00015,示例症狀15,示例症狀15,1
Symptom,SM00016,示例症狀16,示例症狀16,1
Symptom,SM00017,示例症狀17,示例症狀17,1
Symptom,SM00018,示例症狀18,示例症狀18,1
Symptom,SM00019,示例症狀19,示例症狀19,1
Symptom,SM00020,示例症狀20,示例症狀20,1
Symptom,SM00021,示例症狀21,示例症狀21,1
Symptom,SM00022,示例症狀22,示例症狀22,1
Symptom,SM00023,示例症狀23,示例症狀23,1
Symptom,SM00024,示例症狀24,示例症狀24,1
Symptom,SM00025,示例症狀25,示例症狀25,1
Symptom,SM00026,示例症狀26,示例症狀26,1
Symptom,SM00027,示例症狀27,示例症狀27,1
Symptom,SM00028,示例症狀28,示例症狀28,1
Symptom,SM00029,示例症狀29,示例症狀29,1
Symptom,SM00030,示例症狀30,示例症狀30,1
Herb,HM00001,示例藥材1,示例藥材1,1
Herb,HM00002,示例藥材2,示例藥材2,1
Herb,HM00003,示例藥材3,示例藥材3,1
Herb,HM00004,示例藥材4,示例藥材4,1
Herb,HM00005,示例藥材5,示例藥材5,1
Herb,HM00006,示例藥材6,示例藥材6,1
Herb,HM00007,示例藥材7,示例藥材7,1
Herb,HM00008,示例藥材8,示例藥材8,1
Herb,HM00009,示例藥材9,示例藥材9,1
Herb,HM00010,示例藥材10,示例藥材10,1
Herb,HM00011,示例藥材11,示例藥材11,1
Herb,HM00012,示例藥材12,示例藥材12,1
Herb,HM00013,示例藥材13,示例藥材13,1
Herb,HM00014,示例藥材14,示例藥材14,1
Herb,HM00015,示例藥材15,示例藥材15,1
Herb,HM00016,示例藥材16,示例藥材16,1
Herb,HM00017,示例藥材17,示例藥材17,1
Herb,HM00018,示例藥材18,示例藥材18,1
Herb,HM00019,示例藥材19,示例藥材19,1
Herb,HM00020,示例藥材20,示例藥材20,1
