SMHB_ID	SMTS_ID
SMHB000001	SMTS00035
SMHB000001	SMTS00038
SMHB000001	SMTS00109
SMHB000001	SMTS00110
SMHB000001	SMTS00111
SMHB000001	SMTS00115
SMHB000001	SMTS00191
SMHB000001	SMTS00231
SMHB000001	SMTS00266
SMHB000001	SMTS00274
SMHB000001	SMTS00405
SMHB000001	SMTS00419
SMHB000001	SMTS00425
SMHB000001	SMTS00470
SMHB000001	SMTS00524
SMHB000001	SMTS00525
SMHB000001	SMTS00529
SMHB000001	SMTS00530
SMHB000001	SMTS00549
SMHB000001	SMTS00550
SMHB000001	SMTS00551
SMHB000001	SMTS00555
SMHB000001	SMTS00768
SMHB000001	SMTS00866
SMHB000001	SMTS00931
SMHB000001	SMTS00977
SMHB000001	SMTS01063
SMHB000001	SMTS01066
SMHB000001	SMTS01067
SMHB000001	SMTS01068
SMHB000001	SMTS01085
SMHB000001	SMTS01110
SMHB000001	SMTS01919
SMHB000001	SMTS01920
SMHB000002	SMTS00023
SMHB000002	SMTS00064
SMHB000002	SMTS00066
SMHB000002	SMTS00107
SMHB000002	SMTS00137
SMHB000002	SMTS00283
SMHB000002	SMTS00284
SMHB000002	SMTS00289
SMHB000002	SMTS00340
SMHB000002	SMTS00341
SMHB000002	SMTS00424
SMHB000002	SMTS00472
SMHB000002	SMTS00491
SMHB000002	SMTS00611
SMHB000002	SMTS00752
SMHB000002	SMTS00774
SMHB000002	SMTS00799
SMHB000002	SMTS00800
SMHB000002	SMTS00869
SMHB000002	SMTS00870
SMHB000002	SMTS00871
SMHB000002	SMTS00888
SMHB000002	SMTS00889
SMHB000002	SMTS00890
SMHB000002	SMTS00891
SMHB000002	SMTS00983
SMHB000002	SMTS01052
SMHB000002	SMTS01053
SMHB000002	SMTS01130
SMHB000002	SMTS01152
SMHB000002	SMTS01200
SMHB000002	SMTS01246
SMHB000002	SMTS01298
SMHB000002	SMTS01430
SMHB000002	SMTS01570
SMHB000002	SMTS01586
SMHB000002	SMTS01617
SMHB000002	SMTS01619
SMHB000002	SMTS01620
SMHB000002	SMTS01650
SMHB000002	SMTS01651
SMHB000002	SMTS01703
SMHB000002	SMTS01838
SMHB000002	SMTS01867
SMHB000002	SMTS01972
SMHB000003	SMTS00017
SMHB000003	SMTS00084
SMHB000003	SMTS00283
SMHB000003	SMTS00284
SMHB000003	SMTS00289
SMHB000003	SMTS00408
SMHB000003	SMTS00409
SMHB000003	SMTS00494
SMHB000003	SMTS00501
SMHB000003	SMTS00800
SMHB000003	SMTS00802
SMHB000003	SMTS00834
SMHB000003	SMTS00983
SMHB000003	SMTS01074
SMHB000003	SMTS01253
SMHB000003	SMTS01293
SMHB000003	SMTS01298
SMHB000003	SMTS01299
SMHB000003	SMTS01336
SMHB000003	SMTS01341
SMHB000003	SMTS01342
SMHB000003	SMTS01343
SMHB000003	SMTS01416
SMHB000003	SMTS01452
SMHB000003	SMTS01586
SMHB000003	SMTS01605
SMHB000003	SMTS01683
SMHB000003	SMTS01684
SMHB000003	SMTS01725
SMHB000003	SMTS01856
SMHB000003	SMTS01887
SMHB000004	SMTS00068
SMHB000004	SMTS00069
SMHB000004	SMTS00253
SMHB000004	SMTS00283
SMHB000004	SMTS00284
SMHB000004	SMTS00288
SMHB000004	SMTS00289
SMHB000004	SMTS00294
SMHB000004	SMTS00376
SMHB000004	SMTS00407
SMHB000004	SMTS00611
SMHB000004	SMTS00755
SMHB000004	SMTS00756
SMHB000004	SMTS00757
SMHB000004	SMTS00800
SMHB000004	SMTS00983
SMHB000004	SMTS01170
SMHB000004	SMTS01171
SMHB000004	SMTS01175
SMHB000004	SMTS01198
SMHB000004	SMTS01210
SMHB000004	SMTS01211
SMHB000004	SMTS01298
SMHB000004	SMTS01520
SMHB000004	SMTS01521
SMHB000004	SMTS01524
SMHB000004	SMTS01525
SMHB000004	SMTS01526
SMHB000004	SMTS01530
SMHB000004	SMTS01532
SMHB000004	SMTS01586
SMHB000005	SMTS00035
SMHB000005	SMTS00202
SMHB000005	SMTS00274
SMHB000005	SMTS00394
SMHB000005	SMTS00395
SMHB000005	SMTS00397
SMHB000005	SMTS00400
SMHB000005	SMTS00419
SMHB000005	SMTS00425
SMHB000005	SMTS00435
SMHB000005	SMTS00541
SMHB000005	SMTS00550
SMHB000005	SMTS00551
SMHB000005	SMTS00555
SMHB000005	SMTS00779
SMHB000005	SMTS00866
SMHB000005	SMTS01231
SMHB000005	SMTS01453
SMHB000005	SMTS01465
SMHB000005	SMTS01466
SMHB000005	SMTS01467
SMHB000005	SMTS01468
SMHB000005	SMTS01469
SMHB000005	SMTS01476
SMHB000005	SMTS01477
SMHB000005	SMTS01481
SMHB000005	SMTS01484
SMHB000005	SMTS01486
SMHB000005	SMTS01492
SMHB000005	SMTS01591
SMHB000005	SMTS01689
SMHB000005	SMTS01873
SMHB000005	SMTS01921
SMHB000005	SMTS02068
SMHB000006	SMTS00217
SMHB000006	SMTS00411
SMHB000006	SMTS00457
SMHB000006	SMTS02009
SMHB000006	SMTS02010
SMHB000006	SMTS02074
SMHB000006	SMTS02255
SMHB000007	SMTS00038
SMHB000007	SMTS00064
SMHB000007	SMTS00066
SMHB000007	SMTS00266
SMHB000007	SMTS00274
SMHB000007	SMTS00283
SMHB000007	SMTS00284
SMHB000007	SMTS00289
SMHB000007	SMTS00341
SMHB000007	SMTS00419
SMHB000007	SMTS00425
SMHB000007	SMTS00462
SMHB000007	SMTS00474
SMHB000007	SMTS00611
SMHB000007	SMTS00800
SMHB000007	SMTS00888
SMHB000007	SMTS00889
SMHB000007	SMTS00890
SMHB000007	SMTS00891
SMHB000007	SMTS00983
SMHB000007	SMTS01298
SMHB000007	SMTS01515
SMHB000007	SMTS01561
SMHB000007	SMTS01571
SMHB000007	SMTS01586
SMHB000007	SMTS01616
SMHB000007	SMTS01618
SMHB000007	SMTS01620
SMHB000007	SMTS01621
SMHB000007	SMTS01622
SMHB000007	SMTS01623
SMHB000007	SMTS01838
SMHB000008	SMTS00038
SMHB000008	SMTS00172
SMHB000008	SMTS00174
SMHB000008	SMTS00175
SMHB000008	SMTS00266
SMHB000008	SMTS00274
SMHB000008	SMTS00419
SMHB000008	SMTS00425
SMHB000008	SMTS00627
SMHB000008	SMTS01120
SMHB000008	SMTS01277
SMHB000008	SMTS01599
SMHB000008	SMTS01996
SMHB000009	SMTS00004
SMHB000009	SMTS00015
SMHB000009	SMTS00018
SMHB000009	SMTS00046
SMHB000009	SMTS00047
SMHB000009	SMTS00049
SMHB000009	SMTS00060
SMHB000009	SMTS00065
SMHB000009	SMTS00068
SMHB000009	SMTS00069
SMHB000009	SMTS00161
SMHB000009	SMTS00164
SMHB000009	SMTS00165
SMHB000009	SMTS00166
SMHB000009	SMTS00167
SMHB000009	SMTS00168
SMHB000009	SMTS00169
SMHB000009	SMTS00170
SMHB000009	SMTS00175
SMHB000009	SMTS00253
SMHB000009	SMTS00283
SMHB000009	SMTS00285
SMHB000009	SMTS00290
SMHB000009	SMTS00292
SMHB000009	SMTS00379
SMHB000009	SMTS00490
SMHB000009	SMTS00658
SMHB000009	SMTS00706
SMHB000009	SMTS00709
SMHB000009	SMTS00755
SMHB000009	SMTS00756
SMHB000009	SMTS00757
SMHB000009	SMTS00892
SMHB000009	SMTS00984
SMHB000009	SMTS00995
SMHB000009	SMTS00996
SMHB000009	SMTS01150
SMHB000009	SMTS01182
SMHB000009	SMTS01195
SMHB000009	SMTS01210
SMHB000009	SMTS01211
SMHB000009	SMTS01294
SMHB000009	SMTS01305
SMHB000009	SMTS01318
SMHB000009	SMTS01319
SMHB000009	SMTS01362
SMHB000009	SMTS01369
SMHB000009	SMTS01370
SMHB000009	SMTS01373
SMHB000009	SMTS01374
SMHB000009	SMTS01384
SMHB000009	SMTS01386
SMHB000009	SMTS01414
SMHB000009	SMTS01438
SMHB000009	SMTS01514
SMHB000009	SMTS01930
SMHB000009	SMTS02085
SMHB000009	SMTS02222
SMHB000010	SMTS00187
SMHB000010	SMTS00202
SMHB000010	SMTS00203
SMHB000010	SMTS00321
SMHB000010	SMTS00494
SMHB000010	SMTS00501
