HM_ID	IM_ID
HM00001	IM00003
HM00002	IM00005
HM00003	IM00007
HM00004	IM00009
HM00005	IM00011
HM00006	IM00013
HM00007	IM00015
HM00008	IM00017
HM00009	IM00019
HM00010	IM00001
HM00011	IM00003
HM00012	IM00005
HM00013	IM00007
HM00014	IM00009
HM00015	IM00011
HM00016	IM00013
HM00017	IM00015
HM00018	IM00017
HM00019	IM00019
HM00020	IM00001
HM00021	IM00003
HM00022	IM00005
HM00023	IM00007
HM00024	IM00009
HM00025	IM00011
HM00026	IM00013
HM00027	IM00015
HM00028	IM00017
HM00029	IM00019
HM00030	IM00001
HM00031	IM00003
HM00032	IM00005
HM00033	IM00007
HM00034	IM00009
HM00035	IM00011
HM00036	IM00013
HM00037	IM00015
HM00038	IM00017
HM00039	IM00019
HM00040	IM00001
