SM_ID	HM_ID
SM00001	HM00004
SM00001	HM00010
SM00002	HM00007
SM00002	HM00013
SM00003	HM00010
SM00003	HM00016
SM00004	HM00013
SM00004	HM00019
SM00005	HM00016
SM00005	HM00022
SM00006	HM00019
SM00006	HM00025
SM00007	HM00022
SM00007	HM00028
SM00008	HM00025
SM00008	HM00031
SM00009	HM00028
SM00009	HM00034
SM00010	HM00031
SM00010	HM00037
SM00011	HM00034
SM00011	HM00040
SM00012	HM00037
SM00012	HM00003
SM00013	HM00040
SM00013	HM00006
SM00014	HM00003
SM00014	HM00009
SM00015	HM00006
SM00015	HM00012
SM00016	HM00009
SM00016	HM00015
SM00017	HM00012
SM00017	HM00018
SM00018	HM00015
SM00018	HM00021
SM00019	HM00018
SM00019	HM00024
SM00020	HM00021
SM00020	HM00027
SM00021	HM00024
SM00021	HM00030
SM00022	HM00027
SM00022	HM00033
SM00023	HM00030
SM00023	HM00036
SM00024	HM00033
SM00024	HM00039
SM00025	HM00036
SM00025	HM00002
SM00026	HM00039
SM00026	HM00005
SM00027	HM00002
SM00027	HM00008
SM00028	HM00005
SM00028	HM00011
SM00029	HM00008
SM00029	HM00014
SM00030	HM00011
SM00030	HM00017
SM00031	HM00014
SM00031	HM00020
SM00032	HM00017
SM00032	HM00023
SM00033	HM00020
SM00033	HM00026
SM00034	HM00023
SM00034	HM00029
SM00035	HM00026
SM00035	HM00032
SM00036	HM00029
SM00036	HM00035
SM00037	HM00032
SM00037	HM00038
SM00038	HM00035
SM00038	HM00001
SM00039	HM00038
SM00039	HM00004
SM00040	HM00001
SM00040	HM00007
SM00041	HM00004
SM00041	HM00010
SM00042	HM00007
SM00042	HM00013
SM00043	HM00010
SM00043	HM00016
SM00044	HM00013
SM00044	HM00019
SM00045	HM00016
SM00045	HM00022
SM00046	HM00019
SM00046	HM00025
SM00047	HM00022
SM00047	HM00028
SM00048	HM00025
SM00048	HM00031
SM00049	HM00028
SM00049	HM00034
SM00050	HM00031
SM00050	HM00037
