SM_ID	MM_ID
SM00001	MM00003
SM00002	MM00005
SM00003	MM00007
SM00004	MM00009
SM00005	MM00011
SM00006	MM00013
SM00007	MM00015
SM00008	MM00017
SM00009	MM00019
SM00010	MM00021
SM00011	MM00023
SM00012	MM00025
SM00013	MM00027
SM00014	MM00029
SM00015	MM00001
SM00016	MM00003
SM00017	MM00005
SM00018	MM00007
SM00019	MM00009
SM00020	MM00011
SM00021	MM00013
SM00022	MM00015
SM00023	MM00017
SM00024	MM00019
SM00025	MM00021
SM00026	MM00023
SM00027	MM00025
SM00028	MM00027
SM00029	MM00029
SM00030	MM00001
SM00031	MM00003
SM00032	MM00005
SM00033	MM00007
SM00034	MM00009
SM00035	MM00011
SM00036	MM00013
SM00037	MM00015
SM00038	MM00017
SM00039	MM00019
SM00040	MM00021
SM00041	MM00023
SM00042	MM00025
SM00043	MM00027
SM00044	MM00029
SM00045	MM00001
SM00046	MM00003
SM00047	MM00005
SM00048	MM00007
SM00049	MM00009
SM00050	MM00011
