SM_ID	SM_Name	SM_Pinyin
SM00001	頭痛	toutong
SM00002	示例症狀2	z2
SM00003	示例症狀3	z3
SM00004	示例症狀4	z4
SM00005	示例症狀5	z5
SM00006	示例症狀6	z6
SM00007	示例症狀7	z7
SM00008	示例症狀8	z8
SM00009	示例症狀9	z9
SM00010	示例症狀10	z10
SM00011	示例症狀11	z11
SM00012	示例症狀12	z12
SM00013	示例症狀13	z13
SM00014	示例症狀14	z14
SM00015	示例症狀15	z15
SM00016	示例症狀16	z16
SM00017	示例症狀17	z17
SM00018	示例症狀18	z18
SM00019	示例症狀19	z19
SM00020	示例症狀20	z20
SM00021	示例症狀21	z21
SM00022	示例症狀22	z22
SM00023	示例症狀23	z23
SM00024	示例症狀24	z24
SM00025	示例症狀25	z25
SM00026	示例症狀26	z26
SM00027	示例症狀27	z27
SM00028	示例症狀28	z28
SM00029	示例症狀29	z29
SM00030	示例症狀30	z30
SM00031	示例症狀31	z31
SM00032	示例症狀32	z32
SM00033	示例症狀33	z33
SM00034	示例症狀34	z34
SM00035	示例症狀35	z35
SM00036	示例症狀36	z36
SM00037	示例症狀37	z37
SM00038	示例症狀38	z38
SM00039	示例症狀39	z39
SM00040	示例症狀40	z40
SM00041	示例症狀41	z41
SM00042	示例症狀42	z42
SM00043	示例症狀43	z43
SM00044	示例症狀44	z44
SM00045	示例症狀45	z45
SM00046	示例症狀46	z46
SM00047	示例症狀47	z47
SM00048	示例症狀48	z48
SM00049	示例症狀49	z49
SM00050	示例症狀50	z50
