TCMSP_ID,Pinyin_Name,Latin_Name,English_Name,Chinese_Name
MOL0001,Bie Jia,Trionyx sinensis,Chinese Softshell Turtle Shell,鳖甲
MOL0002,Bai Bu,Stemona sessilifolia,Stemona Root,百部
MOL0003,Bai Ji,Bletilla striata,Bletilla Rhizome,白及
MOL0004,Bai Qian,Cynanchum stauntonii,Cynanchum Rhizome,白前
MOL0005,Bai Tou Weng,Pulsatilla chinensis,Pulsatilla Root,白头翁
MOL0006,Ban Lan Gen,Isatis tinctoria,Isatis Root,板蓝根
MOL0007,Bao Shao,Paeonia lactiflora,Peony Root,白芍
MOL0008,Bi Xie,Dioscorea spongiosa,Fish Poison Yam,萆薢
MOL0009,Bian Dou,Dolichos lablab,Hyacinth Bean,扁豆
MOL0010,BING LANG,Areca catechu,Betel Nut,槟榔
MOL0011,Bo He,Mentha haplocalyx,Chinese Mint,薄荷
MOL0012,Cang Er Zi,Xanthium sibiricum,Xanthium Fruit,苍耳子
MOL0013,Cao Guo,Amomum tsao-ko,Tsao-Ko,草果
MOL0014,Cao Wu,Aconitum kusnezoffii,Wild Aconite,草乌
MOL0015,Ce Bai Ye,Platycladus orientalis,Biota Leaves,侧柏叶
MOL0016,Chan Tui,Cryptotympana pustulata,Cicada Slough,蝉蜕
MOL0017,Che Qian Zi,Plantago asiatica,Asian Plantain,车前子
MOL0018,Chi Shao,Paeonia veitchii,Red Peony Root,赤芍
MOL0019,Chuan Bei Mu,Fritillaria cirrhosa,Tendrilleaf Fritillary Bulb,川贝母
MOL0020,Chuan Lian Zi,Melia toosendan,Toosendan Fruit,川楝子
MOL0021,Chuan Niu Xi,Cyathula officinalis,Cyathula Root,川牛膝
MOL0022,Ci Shi,Magnetitum,Magnetite,磁石
MOL0023,Da Ji,Cirsium japonicum,Japanese Thistle,大蓟
MOL0024,Dan Nan Xing,Arisaema cum bile,Bile Arisaema,胆南星
MOL0025,Dang Shen,Codonopsis pilosula,Codonopsis Root,党参
MOL0026,Di Gu Pi,Lycium barbarum,Wolfberry Bark,地骨皮
MOL0027,Di Yu,Sanguisorba officinalis,Sanguisorba Root,地榆
MOL0028,Ding Xiang,Eugenia caryophyllata,Clove,丁香
MOL0029,Du Zhong,Eucommia ulmoides,Eucommia Bark,杜仲
MOL0030,E Jiao,Equus asinus,Donkey-Hide Gelatin,阿胶
MOL0031,Fang Feng,Saposhnikovia divaricata,Saposhnikovia Root,防风
MOL0032,Fu Ping,Spirodela polyrhiza,Duckweed,浮萍
MOL0033,Gou Teng,Uncaria rhynchophylla,Uncaria,钩藤
MOL0034,Gou Qi Zi,Lycium barbarum,Goji Berry,枸杞
MOL0035,Gua Lou,Trichosanthes kirilowii,Trichosanthes,瓜蒌
MOL0036,Hai Piao Xiao,Sepia esculenta,Cuttlefish Bone,海螵蛸
MOL0037,He Shou Wu,Polygonum multiflorum,Fleeceflower Root,何首乌
MOL0038,Hong Hua,Carthamus tinctorius,Safflower,红花
MOL0039,Huang Qi,Astragalus membranaceus,Astragalus,黄芪
MOL0040,Huo Ma Ren,Cannabis sativa,Hemp Seed,火麻仁
MOL0041,Ji Nei Jin,Gallus gallus domesticus,Chicken Gizzard Lining,鸡内金
MOL0042,Jiang Can,Bombyx mori,Silkworm,僵蚕
MOL0043,Jie Geng,Platycodon grandiflorus,Balloon Flower,桔梗
MOL0044,Jing Jie,Schizonepeta tenuifolia,Japanese Catnip,荆芥
MOL0045,Ku Shen,Sophora flavescens,Light Yellow Sophora Root,苦参
